x [m],y [m],z [m],zrot [deg.],wba SAR [W/kg]
5.00E-02,0.00E+00,-3.80E+00,0.00E+00,1.78E-06
5.00E-02,0.00E+00,-3.00E+00,0.00E+00,7.48E-06
5.00E-02,0.00E+00,-2.30E+00,0.00E+00,6.18E-05
5.00E-02,0.00E+00,-1.60E+00,0.00E+00,6.56E-02
5.00E-02,0.00E+00,-1.00E+00,0.00E+00,2.21E-01
5.00E-02,0.00E+00,-5.00E-01,0.00E+00,4.69E-01
5.00E-02,0.00E+00,0.00E+00,0.00E+00,5.14E-01
5.00E-02,0.00E+00,5.00E-01,0.00E+00,3.57E-01
5.00E-02,0.00E+00,1.00E+00,0.00E+00,1.51E-01
5.00E-02,0.00E+00,1.60E+00,0.00E+00,3.14E-02
5.00E-02,0.00E+00,2.30E+00,0.00E+00,7.77E-05
5.00E-02,0.00E+00,3.00E+00,0.00E+00,8.29E-06
5.00E-02,0.00E+00,3.80E+00,0.00E+00,1.90E-06
1.00E-01,0.00E+00,-3.80E+00,0.00E+00,2.05E-06
1.00E-01,0.00E+00,-3.00E+00,0.00E+00,8.54E-06
1.00E-01,0.00E+00,-2.30E+00,0.00E+00,6.72E-05
1.00E-01,0.00E+00,-1.60E+00,0.00E+00,1.65E-02
1.00E-01,0.00E+00,-1.00E+00,0.00E+00,9.28E-02
1.00E-01,0.00E+00,-5.00E-01,0.00E+00,2.26E-01
1.00E-01,0.00E+00,0.00E+00,0.00E+00,3.23E-01
1.00E-01,0.00E+00,5.00E-01,0.00E+00,3.00E-01
1.00E-01,0.00E+00,1.00E+00,0.00E+00,1.62E-01
1.00E-01,0.00E+00,1.60E+00,0.00E+00,2.89E-02
1.00E-01,0.00E+00,2.30E+00,0.00E+00,8.90E-05
1.00E-01,0.00E+00,3.00E+00,0.00E+00,9.72E-06
1.00E-01,0.00E+00,3.80E+00,0.00E+00,2.22E-06
3.00E-01,0.00E+00,-3.80E+00,0.00E+00,4.06E-06
3.00E-01,0.00E+00,-3.00E+00,0.00E+00,1.62E-05
3.00E-01,0.00E+00,-2.30E+00,0.00E+00,9.82E-05
3.00E-01,0.00E+00,-1.60E+00,0.00E+00,6.96E-03
3.00E-01,0.00E+00,-1.00E+00,0.00E+00,6.15E-02
3.00E-01,0.00E+00,-5.00E-01,0.00E+00,1.42E-01
3.00E-01,0.00E+00,0.00E+00,0.00E+00,1.84E-01
3.00E-01,0.00E+00,5.00E-01,0.00E+00,1.47E-01
3.00E-01,0.00E+00,1.00E+00,0.00E+00,6.83E-02
3.00E-01,0.00E+00,1.60E+00,0.00E+00,1.14E-02
3.00E-01,0.00E+00,2.30E+00,0.00E+00,1.41E-04
3.00E-01,0.00E+00,3.00E+00,0.00E+00,1.99E-05
3.00E-01,0.00E+00,3.80E+00,0.00E+00,4.64E-06
6.00E-01,0.00E+00,-3.80E+00,0.00E+00,1.03E-05
6.00E-01,0.00E+00,-3.00E+00,0.00E+00,3.33E-05
6.00E-01,0.00E+00,-2.30E+00,0.00E+00,1.49E-04
6.00E-01,0.00E+00,-1.60E+00,0.00E+00,3.95E-03
6.00E-01,0.00E+00,-1.00E+00,0.00E+00,3.65E-02
6.00E-01,0.00E+00,-5.00E-01,0.00E+00,8.55E-02
6.00E-01,0.00E+00,0.00E+00,0.00E+00,1.12E-01
6.00E-01,0.00E+00,5.00E-01,0.00E+00,8.76E-02
6.00E-01,0.00E+00,1.00E+00,0.00E+00,4.06E-02
6.00E-01,0.00E+00,1.60E+00,0.00E+00,5.79E-03
6.00E-01,0.00E+00,2.30E+00,0.00E+00,1.88E-04
6.00E-01,0.00E+00,3.00E+00,0.00E+00,3.94E-05
6.00E-01,0.00E+00,3.80E+00,0.00E+00,1.18E-05
1.00E+00,0.00E+00,-3.80E+00,0.00E+00,1.94E-05
1.00E+00,0.00E+00,-3.00E+00,0.00E+00,4.11E-05
1.00E+00,0.00E+00,-2.30E+00,0.00E+00,2.19E-04
1.00E+00,0.00E+00,-1.60E+00,0.00E+00,2.59E-03
1.00E+00,0.00E+00,-1.00E+00,0.00E+00,2.22E-02
1.00E+00,0.00E+00,-5.00E-01,0.00E+00,5.37E-02
1.00E+00,0.00E+00,0.00E+00,0.00E+00,7.19E-02
1.00E+00,0.00E+00,5.00E-01,0.00E+00,5.63E-02
1.00E+00,0.00E+00,1.00E+00,0.00E+00,2.55E-02
1.00E+00,0.00E+00,1.60E+00,0.00E+00,3.60E-03
1.00E+00,0.00E+00,2.30E+00,0.00E+00,2.63E-04
1.00E+00,0.00E+00,3.00E+00,0.00E+00,4.45E-05
1.00E+00,0.00E+00,3.80E+00,0.00E+00,2.05E-05
1.50E+00,0.00E+00,-3.80E+00,0.00E+00,1.58E-05
1.50E+00,0.00E+00,-3.00E+00,0.00E+00,7.63E-05
1.50E+00,0.00E+00,-2.30E+00,0.00E+00,2.67E-04
1.50E+00,0.00E+00,-1.60E+00,0.00E+00,1.86E-03
1.50E+00,0.00E+00,-1.00E+00,0.00E+00,1.59E-02
1.50E+00,0.00E+00,-5.00E-01,0.00E+00,3.78E-02
1.50E+00,0.00E+00,0.00E+00,0.00E+00,4.96E-02
1.50E+00,0.00E+00,5.00E-01,0.00E+00,3.89E-02
1.50E+00,0.00E+00,1.00E+00,0.00E+00,1.80E-02
1.50E+00,0.00E+00,1.60E+00,0.00E+00,2.36E-03
1.50E+00,0.00E+00,2.30E+00,0.00E+00,3.25E-04
1.50E+00,0.00E+00,3.00E+00,0.00E+00,9.21E-05
1.50E+00,0.00E+00,3.80E+00,0.00E+00,1.63E-05
2.20E+00,0.00E+00,-3.80E+00,0.00E+00,4.93E-05
2.20E+00,0.00E+00,-3.00E+00,0.00E+00,9.98E-05
2.20E+00,0.00E+00,-2.30E+00,0.00E+00,2.64E-04
2.20E+00,0.00E+00,-1.60E+00,0.00E+00,1.44E-03
2.20E+00,0.00E+00,-1.00E+00,0.00E+00,1.08E-02
2.20E+00,0.00E+00,-5.00E-01,0.00E+00,2.54E-02
2.20E+00,0.00E+00,0.00E+00,0.00E+00,3.34E-02
2.20E+00,0.00E+00,5.00E-01,0.00E+00,2.66E-02
2.20E+00,0.00E+00,1.00E+00,0.00E+00,1.30E-02
2.20E+00,0.00E+00,1.60E+00,0.00E+00,1.91E-03
2.20E+00,0.00E+00,2.30E+00,0.00E+00,2.87E-04
2.20E+00,0.00E+00,3.00E+00,0.00E+00,1.16E-04
2.20E+00,0.00E+00,3.80E+00,0.00E+00,5.54E-05
3.00E+00,0.00E+00,-3.80E+00,0.00E+00,4.56E-05
3.00E+00,0.00E+00,-3.00E+00,0.00E+00,1.09E-04
3.00E+00,0.00E+00,-2.30E+00,0.00E+00,2.43E-04
3.00E+00,0.00E+00,-1.60E+00,0.00E+00,1.12E-03
3.00E+00,0.00E+00,-1.00E+00,0.00E+00,7.91E-03
3.00E+00,0.00E+00,-5.00E-01,0.00E+00,1.94E-02
3.00E+00,0.00E+00,0.00E+00,0.00E+00,2.54E-02
3.00E+00,0.00E+00,5.00E-01,0.00E+00,1.97E-02
3.00E+00,0.00E+00,1.00E+00,0.00E+00,9.01E-03
3.00E+00,0.00E+00,1.60E+00,0.00E+00,1.30E-03
3.00E+00,0.00E+00,2.30E+00,0.00E+00,2.29E-04
3.00E+00,0.00E+00,3.00E+00,0.00E+00,1.07E-04
3.00E+00,0.00E+00,3.80E+00,0.00E+00,4.98E-05
4.00E+00,0.00E+00,-3.80E+00,0.00E+00,6.38E-05
4.00E+00,0.00E+00,-3.00E+00,0.00E+00,1.11E-04
4.00E+00,0.00E+00,-2.30E+00,0.00E+00,2.12E-04
4.00E+00,0.00E+00,-1.60E+00,0.00E+00,1.03E-03
4.00E+00,0.00E+00,-1.00E+00,0.00E+00,5.79E-03
4.00E+00,0.00E+00,-5.00E-01,0.00E+00,1.43E-02
4.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-02
4.00E+00,0.00E+00,5.00E-01,0.00E+00,1.46E-02
4.00E+00,0.00E+00,1.00E+00,0.00E+00,6.61E-03
4.00E+00,0.00E+00,1.60E+00,0.00E+00,1.28E-03
4.00E+00,0.00E+00,2.30E+00,0.00E+00,2.49E-04
4.00E+00,0.00E+00,3.00E+00,0.00E+00,1.06E-04
4.00E+00,0.00E+00,3.80E+00,0.00E+00,6.52E-05
5.00E+00,0.00E+00,-3.80E+00,0.00E+00,5.37E-05
5.00E+00,0.00E+00,-3.00E+00,0.00E+00,8.91E-05
5.00E+00,0.00E+00,-2.30E+00,0.00E+00,1.94E-04
5.00E+00,0.00E+00,-1.60E+00,0.00E+00,9.77E-04
5.00E+00,0.00E+00,-1.00E+00,0.00E+00,4.67E-03
5.00E+00,0.00E+00,-5.00E-01,0.00E+00,1.15E-02
5.00E+00,0.00E+00,0.00E+00,0.00E+00,1.48E-02
5.00E+00,0.00E+00,5.00E-01,0.00E+00,1.16E-02
5.00E+00,0.00E+00,1.00E+00,0.00E+00,5.33E-03
5.00E+00,0.00E+00,1.60E+00,0.00E+00,1.14E-03
5.00E+00,0.00E+00,2.30E+00,0.00E+00,1.80E-04
5.00E+00,0.00E+00,3.00E+00,0.00E+00,9.98E-05
5.00E+00,0.00E+00,3.80E+00,0.00E+00,5.50E-05
5.00E-02,0.00E+00,-7.50E-01,0.00E+00,3.49E-01
5.00E-02,0.00E+00,-2.50E-01,0.00E+00,5.37E-01
5.00E-02,0.00E+00,2.50E-01,0.00E+00,4.59E-01
5.00E-02,0.00E+00,7.50E-01,0.00E+00,2.51E-01
1.00E-01,0.00E+00,-7.50E-01,0.00E+00,1.55E-01
1.00E-01,0.00E+00,-2.50E-01,0.00E+00,2.90E-01
1.00E-01,0.00E+00,2.50E-01,0.00E+00,3.32E-01
1.00E-01,0.00E+00,7.50E-01,0.00E+00,2.40E-01
3.00E-01,0.00E+00,-7.50E-01,0.00E+00,1.04E-01
3.00E-01,0.00E+00,-2.50E-01,0.00E+00,1.72E-01
3.00E-01,0.00E+00,2.50E-01,0.00E+00,1.74E-01
3.00E-01,0.00E+00,7.50E-01,0.00E+00,1.10E-01
6.00E-01,0.00E+00,-7.50E-01,0.00E+00,6.09E-02
6.00E-01,0.00E+00,-2.50E-01,0.00E+00,1.02E-01
6.00E-01,0.00E+00,2.50E-01,0.00E+00,1.05E-01
6.00E-01,0.00E+00,7.50E-01,0.00E+00,6.42E-02
1.00E+00,0.00E+00,-7.50E-01,0.00E+00,3.74E-02
1.00E+00,0.00E+00,-2.50E-01,0.00E+00,6.41E-02
1.00E+00,0.00E+00,2.50E-01,0.00E+00,6.62E-02
1.00E+00,0.00E+00,7.50E-01,0.00E+00,4.29E-02
1.50E+00,0.00E+00,-7.50E-01,0.00E+00,2.67E-02
1.50E+00,0.00E+00,-2.50E-01,0.00E+00,4.65E-02
1.50E+00,0.00E+00,2.50E-01,0.00E+00,4.75E-02
1.50E+00,0.00E+00,7.50E-01,0.00E+00,2.81E-02
2.20E+00,0.00E+00,-7.50E-01,0.00E+00,1.80E-02
2.20E+00,0.00E+00,-2.50E-01,0.00E+00,3.18E-02
2.20E+00,0.00E+00,2.50E-01,0.00E+00,3.25E-02
2.20E+00,0.00E+00,7.50E-01,0.00E+00,1.85E-02
3.00E+00,0.00E+00,-7.50E-01,0.00E+00,1.34E-02
3.00E+00,0.00E+00,-2.50E-01,0.00E+00,2.35E-02
3.00E+00,0.00E+00,2.50E-01,0.00E+00,2.39E-02
3.00E+00,0.00E+00,7.50E-01,0.00E+00,1.44E-02
4.00E+00,0.00E+00,-7.50E-01,0.00E+00,9.92E-03
4.00E+00,0.00E+00,-2.50E-01,0.00E+00,1.76E-02
4.00E+00,0.00E+00,2.50E-01,0.00E+00,1.73E-02
4.00E+00,0.00E+00,7.50E-01,0.00E+00,1.09E-02
5.00E+00,0.00E+00,-7.50E-01,0.00E+00,7.91E-03
5.00E+00,0.00E+00,-2.50E-01,0.00E+00,1.41E-02
5.00E+00,0.00E+00,2.50E-01,0.00E+00,1.37E-02
5.00E+00,0.00E+00,7.50E-01,0.00E+00,8.59E-03
